Flowable,CASNo,Formula,Synonyms,Unit,Class,ExternalReference,Preferred,Context,FlowUUID,AltUnit1,AltUnitConversionFactor1
soil,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,1e48279b-b9e9-4f10-b325-bd5cb2f23c27,,
dolomite,069227-00-5,,"CaMg(CO3)2,CaMg(CO3)2",kg,,,,Resources/ground/Non-renewable material resources,2f0739c2-9801-4eb3-854f-5226e3997c1d,,
clay,070694-09-6,,,kg,Geological,,,Resources/ground/Non-renewable material resources,5722d97e-a89e-4350-ba6d-0894a9222a26,,
perlite,093763-70-3,,,kg,Geological,,,Resources/ground/Non-renewable material resources,49d0defb-128b-417f-9bdd-91eef6395148,,
barium sulfate,007727-43-7,,"BaSO4,BaSO4",kg,,,,Resources/ground/Non-renewable material resources,3800cb7c-55e4-48c7-b20d-1db2aa3381e9,,
shale,,,,kg,,,,Resources/ground/Non-renewable material resources,a382206d-037a-42fe-8b73-13e93d600faf,,
bentonite,001302-78-9,,"Al2O3.4(SiO2).H2O,Al2O3.4(SiO2).H2O",kg,,,,Resources/ground/Non-renewable material resources,2a782909-8810-4abc-a713-f24c27373035,,
borax,012447-40-4,,"Na2B4O7.10H2O,Na2B4O7.10H2O",kg,Geological,,,Resources/ground/Non-renewable material resources,d40501fe-9a8a-4968-b71b-93ddf742241e,,
fluorspar,014542-23-5,,"CaF2,CaF2",kg,Geological,,,Resources/ground/Non-renewable material resources,7616f260-343b-42e1-9058-f36a14d68ef9,,
magnesite,000546-93-0,,"MgCO3;Magnesium Carbonate,MgCO3;Magnesium Carbonate",kg,Geological,,,Resources/ground/Non-renewable material resources,c2dfd91e-6a9a-438c-a688-b3376c4c40af,,
sulfate,014808-79-8,,"SO4 (2-);Sulphate,SO4 (2-);Sulphate",kg,,,,Resources/ground/Non-renewable material resources,44a065e7-758c-420f-970e-2585a8d37fc9,,
sodium carbonate,000497-19-8,,"Na2CO3;Soda;炭酸ソーダ,Na2CO3;Soda;炭酸ソーダ",kg,,,,Resources/ground/Non-renewable material resources,323cc137-7ed7-4174-8152-d90d8ceeef5d,,
silica stone,,,"けい石;ケイ石,",kg,Geological,,,Resources/ground/Non-renewable material resources,f4e862f5-9c0d-4267-bc12-df1de6e8c47d,,
marble,,,,kg,Geological,,,Resources/ground/Non-renewable element resources,8e64309e-882a-4956-92d8-da1d0c514656,,
pit sand,,,"山砂,",kg,Geological,,,Resources/ground/Non-renewable material resources,11327ff6-fbb3-4693-a386-d01f5ed9861a,,
sand (sea and river),,,"海砂;川砂,",kg,Geological,,,Resources/ground/Non-renewable material resources,048445c3-dfc2-42a5-835c-155fc1bee381,,
gold ore,,,,kg,Geological,,,Resources/ground/Non-renewable material resources,ba64fea6-9069-4721-a278-a9ad29fd90a4,,
zinc ore,,,,kg,,,,Resources/ground/Non-renewable material resources,37f7bcce-8833-48fe-99a1-c6de6478ff48,,
mineral phosphate,,,",phosphate rock",kg,,,,Resources/ground/Non-renewable material resources,afeb031b-be3c-4ed4-aded-5e31fae2a2f0,,
serpentine,,,"蛇紋石;antigorite;chrysolite;lizardite,antigorite;chrysolite;lizardite",kg,,,,Resources/ground/Non-renewable material resources,dde29593-56bf-4537-abfc-79ed99ce8eab,,
peridotite,,,,kg,Geological,,,Resources/ground/Non-renewable element resources,567486b4-4011-422a-b1da-4160332bc997,,
"anthracite, 26.9MJ/kg",,,,kg,Geological,,,Resources/ground/Non-renewable energy resources,62cb7413-a4bf-4f66-ac6d-601fefa87635,,
